GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-usuarios,cl.lumora.usuarios.infrastructure.config,SwaggerConfig,17,0,0,0,6,0,2,0,2,0
ms-usuarios,cl.lumora.usuarios.infrastructure.config,SecurityConfig,23,0,0,0,6,0,4,0,4,0
ms-usuarios,cl.lumora.usuarios.infrastructure.adapter.out.persistence.entity,RolEntity,24,0,0,0,11,0,7,0,7,0
ms-usuarios,cl.lumora.usuarios.infrastructure.adapter.out.persistence.entity,UsuarioEntity,66,0,0,0,29,0,19,0,19,0
ms-usuarios,cl.lumora.usuarios,MsUsuariosApplication,8,0,0,0,3,0,2,0,2,0
ms-usuarios,cl.lumora.usuarios.application.service,UsuarioService,0,56,0,0,0,15,0,9,0,9
ms-usuarios,cl.lumora.usuarios.infrastructure.exception,GlobalExceptionHandler,0,8,0,0,0,3,0,2,0,2
ms-usuarios,cl.lumora.usuarios.infrastructure.adapter.out.persistence.adapter,UsuarioPersistenceAdapter,43,0,0,0,16,0,6,0,6,0
ms-usuarios,cl.lumora.usuarios.infrastructure.adapter.out.persistence.adapter,RolPersistenceAdapter,59,0,0,0,19,0,5,0,5,0
ms-usuarios,cl.lumora.usuarios.application.dto,UsuarioResponseDTO,38,0,0,0,17,0,11,0,11,0
ms-usuarios,cl.lumora.usuarios.application.dto,UsuarioRequestDTO,31,0,0,0,14,0,9,0,9,0
ms-usuarios,cl.lumora.usuarios.application.dto,RolResponseDTO,24,0,0,0,11,0,7,0,7,0
ms-usuarios,cl.lumora.usuarios.infrastructure.adapter.in.web,UsuarioController,0,36,0,0,0,10,0,7,0,7
ms-usuarios,cl.lumora.usuarios.infrastructure.adapter.in.web,RolController,0,23,0,0,0,7,0,4,0,4
ms-usuarios,cl.lumora.usuarios.application.mapper,UsuarioMapper,134,0,8,0,36,0,6,0,2,0
ms-usuarios,cl.lumora.usuarios.domain.model,Rol,0,36,0,0,0,16,0,8,0,8
ms-usuarios,cl.lumora.usuarios.domain.model,Usuario,0,66,0,0,0,29,0,19,0,19
